stock_code,gold_count,upstream_count,downstream_count,mapped_count,audit_ok
601238,143,4,136,3,True
000031,20,3,5,3,True
000014,6,4,0,0,True
688193,14,5,1,2,True
002120,22,5,5,2,True
000735,17,2,1,1,True
000061,63,21,34,2,True
000035,16,8,0,3,False
920363,39,26,6,5,True
000030,83,5,34,7,True
603667,22,4,2,4,True
688710,65,26,15,9,True
600409,13,1,1,5,True
000028,435,305,64,11,True
600645,102,24,1,5,True
300652,14,5,1,2,True
000016,151,34,59,7,True
920694,5,3,0,3,True
688187,3,1,0,0,True
000060,20,1,3,3,True
000153,47,11,2,3,True
301397,5,5,0,3,True
600867,45,12,3,4,True
603819,3,1,1,0,True
600456,55,3,7,1,True
000058,53,2,8,7,True
688247,13,0,0,1,False
300284,87,40,9,2,True
688777,79,16,17,1,True
300836,16,13,1,6,True
