stock_code,party_name,relation_desc,source_page,human_scope_class
300750,香港瑞华投资有限公司,关联方,171,
000027,深能北方（呼伦贝尔）能源开发有限公司,关联方,56,
000031,预付款项：,(空),249,
000029,深圳市物业管理有限公司,(空),137,
000011,深圳市保税区保安服务有限公司,受托管理/承包方,193,
000058,深圳市赛格物业发展有限公司,受托管理/承包方,203,
000014,深业鹏基（集团）有限公司,资产重组交易对方,122,
000014,深圳晶华显示电子股份有限公司,资产重组标的公司,122,
000020,深圳市万科房地产有限公司,其他关联方/合作方,161,
000026,航空工业财务,其他关联方,153,
000025,深圳市舜天电动车技术发展有限公司,本公司的投资公司,154,
000027,华能国际,同控制/股东,55,
000027,深圳市深能能源管理有限公司,同控制,55,
000027,深能（化州）新能源有限公司,任务,66,
000030,宁波峰梅新能源汽车科技股份有限公司,董监任职单位,183,
000030,华翔金属科技股份有限公司,董监任职单位,183,
000032,"中国电子财
务有限公司","受同一实际
控制人控制
的其他主体",91,
000034,DC Cityverse Limited,其他,262,
000034,智邦大陆科技有限公司,其他,262,
000034,北京神州数码锐行快捷信息技术服务有限公司,relation,261,
000034,江苏安农信息科技有限公司,相关方,262,
000036,Argentum Lithium S.A.,拟收购标的,156,
000036,智利锂业,交易对手方,156,
000036,交通银行股份有限公司深圳分行,贷款银行/抵押权人,157,
000036,上海浦东发展银行股份有限公司杭州分行,贷款银行/抵押权人,157,
000056,百利亚太投资有限公司（以下简称“百利亚太”),持有本公司5.45%的股权,154,
000056,百利亚太投资有限公司,持有本公司5.45%的股权,154,
000056,深圳市皇庭投资管理有限公司（以下简称“皇庭投资”）,持有本公司0.00%的股权,154,
000056,深圳市皇庭产业控股有限公司（以下简称“皇庭产业控股”）,持有本公司15.32%的股权,154,
000056,皇庭国际集团有限公司（以下简称“皇庭国际集团”）,持有本公司2.74%的股权,154,
