subject_code,subject_name,party_name,rule_id,path_readable,evidence,report_period,confidence,score,gold_parties_of_subject,name_variants,human_class,human_note
000006,深振业Ａ,特  力Ａ,R2,000006 -CONTROLLED_BY [32.77%]-> 深圳市国有资产监督管理局 | 深圳市国有资产监督管理局 -CONTROLS-> 000025,actual_controller#7723 src=stock_hold_control_cninfo period=None | actual_controller#7656 src=stock_hold_control_cninfo period=None,,high,0.9,深圳市人民政府国有资产监督管理委员会,特  力Ａ,reasonable_undisclosed,
000006,深振业Ａ,深深房Ａ,R2,000006 -CONTROLLED_BY [32.77%]-> 深圳市国有资产监督管理局 | 深圳市国有资产监督管理局 -CONTROLS-> 000029,actual_controller#7723 src=stock_hold_control_cninfo period=None | actual_controller#7657 src=stock_hold_control_cninfo period=None,,high,0.9,深圳市人民政府国有资产监督管理委员会,深深房Ａ,reasonable_undisclosed,
000006,深振业Ａ,深纺织Ａ,R2,000006 -CONTROLLED_BY [32.77%]-> 深圳市国有资产监督管理局 | 深圳市国有资产监督管理局 -CONTROLS-> 000045,actual_controller#7723 src=stock_hold_control_cninfo period=None | actual_controller#7660 src=stock_hold_control_cninfo period=None,,high,0.9,深圳市人民政府国有资产监督管理委员会,深纺织Ａ,reasonable_undisclosed,
000006,深振业Ａ,深 赛 格,R2,000006 -CONTROLLED_BY [32.77%]-> 深圳市国有资产监督管理局 | 深圳市国有资产监督管理局 -CONTROLS-> 000058,actual_controller#7723 src=stock_hold_control_cninfo period=None | actual_controller#7663 src=stock_hold_control_cninfo period=None,,high,0.9,深圳市人民政府国有资产监督管理委员会,深 赛 格,reasonable_undisclosed,
000006,深振业Ａ,农 产 品,R2,000006 -CONTROLLED_BY [32.77%]-> 深圳市国有资产监督管理局 | 深圳市国有资产监督管理局 -CONTROLS-> 000061,actual_controller#7723 src=stock_hold_control_cninfo period=None | actual_controller#7664 src=stock_hold_control_cninfo period=None,,high,0.9,深圳市人民政府国有资产监督管理委员会,农 产 品,reasonable_undisclosed,
000006,深振业Ａ,深圳机场,R2,000006 -CONTROLLED_BY [32.77%]-> 深圳市国有资产监督管理局 | 深圳市国有资产监督管理局 -CONTROLS-> 000089,actual_controller#7723 src=stock_hold_control_cninfo period=None | actual_controller#7666 src=stock_hold_control_cninfo period=None,,high,0.9,深圳市人民政府国有资产监督管理委员会,深圳机场,reasonable_undisclosed,
000006,深振业Ａ,深粮控股,R2,000006 -CONTROLLED_BY [32.77%]-> 深圳市国有资产监督管理局 | 深圳市国有资产监督管理局 -CONTROLS-> 000019,actual_controller#7723 src=stock_hold_control_cninfo period=None | actual_controller#7726 src=stock_hold_control_cninfo period=None,,high,0.9,深圳市人民政府国有资产监督管理委员会,深粮控股,reasonable_undisclosed,
000006,深振业Ａ,深圳能源,R2,000006 -CONTROLLED_BY [32.77%]-> 深圳市国有资产监督管理局 | 深圳市国有资产监督管理局 -CONTROLS-> 000027,actual_controller#7723 src=stock_hold_control_cninfo period=None | actual_controller#7727 src=stock_hold_control_cninfo period=None,,high,0.9,深圳市人民政府国有资产监督管理委员会,深圳能源,reasonable_undisclosed,
000006,深振业Ａ,特发信息,R2,000006 -CONTROLLED_BY [32.77%]-> 深圳市国有资产监督管理局 | 深圳市国有资产监督管理局 -CONTROLS-> 000070,actual_controller#7723 src=stock_hold_control_cninfo period=None | actual_controller#7732 src=stock_hold_control_cninfo period=None,,high,0.9,深圳市人民政府国有资产监督管理委员会,特发信息,reasonable_undisclosed,
000006,深振业Ａ,深粮B,R2,000006 -CONTROLLED_BY [32.77%]-> 深圳市国有资产监督管理局 | 深圳市国有资产监督管理局 -CONTROLS-> 200019,actual_controller#7723 src=stock_hold_control_cninfo period=None | actual_controller#7792 src=stock_hold_control_cninfo period=None,,high,0.9,深圳市人民政府国有资产监督管理委员会,深粮B,reasonable_undisclosed,
